first_name,last_name,RMP_ID
G,Weinberg,830016
Ryan,Edwards,906307
Diane,Karol,405904
.,Quader,949517
Kathryn,O'Donoghue,1220273
Keitaro,Yukawa,339007
Nora,Glickman,432375
C.,Gochanour,1172349
Barry,Goldberg,1956155
Lee,Norton,2300471
Chengcheng,Wen,1849928
Evan,Daniel,1629114
Natalia,Londono,1865230
Susan,MacMillan,395230
Rudy,Wu,2410802
Ethel,Kosminsky,1172178
Gerald,Landau,1276963
Elizabeth,Roistacher,202838
.,Gissinger,432337
Stephen,Eder,2203618
Carl,Ward,1168161
Soniya,Munshi,738007
Lily,Frank,913280
Geraldo,Vasquez,1140514
Zhigang,Xiang,44599
Kate,Schnur,2147359
Larry,Liebovitch,2185735
William,Haddican,1555980
Melissa,Checker,998386
Nancy,Agabian,399439
Meng-Ting,Chen,2333803
Jon,Sperling,544009
Elissa,Bemporad,1312149
Mary Ann,Gallucci,1813507
Andrew,Derosa,1450265
Horatio,Williams,414563
John,Matturri,345896
Noam,Schiendlin,510774
Sandrina,Brown-Hamberry,1709560
Brianna,Bisogno,2182792
Tsippa,Atkin,2559394
Patrick,McGough,190940
Mary,Diaz,1363777
Brian,Kim,1595029
Arnold,Adler,2184208
Andrew,Ng,2509566
Alyson,Cole,98629
Caroline,Hong,1312171
Timothy,Eaton,2051730
Scott,Kapuscinski,2107776
Evgeniya,Koroleva,2126408
Bruce,Brown,53828
William,Farrell,485194
Trevor,Lee,1053087
Melinda,Cornwell,1744931
Christopher,Williams,2232899
Kwong-Bor,Ng,661849
Michael,London,1180836
Anastasia,Capetanos,2020918
Shih,Jen Weng,2068341
Chaya,Cassano Reed,2381926
Carmenza,Gallo,631474
Jose,Martinez-Torrejon,377114
Gopal,Sukhu,411184
Kurt,Kauper,941768
David,Lahti,1312161
Ashima,Kant,298494
Rhonda,Tenenbaum,1095288
Naveed,Alam,54860
Sam,Rubino,1293926
Anestoria,Shalkowski,2279882
Jan,Bazant,2264536
Clare,Carroll,424399
Versuka,Cantelli,574275
Katya,Staikova,1302353
Karine,Tache,1870618
Jeffrey,Katz,2418919
Michael,Magoulis,2461581
Judith,Ackerman,293015
Nduka,Uchenna,1942011
Fidel,Tavarez,2623003
Philipp,Angermeyer,815745
Sunny,Knable,2239681
Gregory,Rosen,2717105
Jack,Giamanco,1602242
Kamil,Walczak,2520311
Jennifer,Johnson,956581
Martin,Hanlon,22550
Carlos,Fittante,1632040
Mana,Kobuchi-Philip,2421347
John,Ostling,2445717
Anna,Larsson,2001404
Israel,Blumenfrucht,223587
Wjeewani,Boteju,2634956
Dallas,McCurley,109221
Patrick,Brock,403544
Andrew,Newman,169280
.,Seiler,375994
Christopher,Lore,1062146
Arto,Artinian,1498451
Leanne,Ussher,549386
Harriet,Li,54858
Fang,Sun,1987534
Elaine,Silverberg,1256494
Irving,Markovitz,22581
Layton,Franko,1147603
Harry,Feiner,493212
Zoe,Beloff,463534
Dana,Weinberg,630042
Gary,Goldberg,485770
David,Bitterman,2242259
.,Micic,574493
Rahul,Sahajpal,454432
Alla,Rozovskaya,2189504
.,Jackman,496794
.,Rostoker,239588
.,Huang,503316
Barbara,Mavro,1081817
Ramona,Perez,1856547
James,Saslow,628994
Joyce,Warren,414805
Andrew,Bossie,1310007
Taylor,Kennamer,1173241
Gregory,Hart,1329010
Carolina,Chaves,1786746
Salvatore,Garofalo,2648153
Paula,Gillman,1692881
Joseph,Chan,2019604
Wallace,Goldberg,22541
.,Hecht,327352
Bilaggio,Pilato,1260835
Bahar,Baheri,98278
Celestina,Dcosta,1989543
Alicia,Andrzejewski,1802344
Lourdes,Burrows,578003
Theodore,Brown,1941086
Katherine,Paccione,1475602
Jin,Fan,1653949
Michael,Toner,206239
Kimberly,Garcia,1365595
Edgar,Mcmanus,202877
Rebecca,Steiner,651747
Mikhail,Munenzon,1404480
Scott,Henkle,1058137
Larisa,Honey,1228093
Tamar,Kraft,1514072
Irina,Levin,2196378
James,Myer,2333714
Mellisa,Jagdeo,2514439
David W.,Alsop,251585
.,Epstein,338169
Prof,Benson,299749
Ilysse,Baum,1332552
Gavin,McCormick,987816
Tom,Bird,317880
M.,Stevens,901848
Kristi,Fleetwood,2260364
Amanda,Torres,2294226
Gary,Hemming,249879
Peter,Novick,808888
Miryam,Segal,1312174
C,Shanafelt,883329
Phil,Mirabelli,182450
Zaur,Isaakov,996396
Alex,Pang,2581363
Daisuke,Akiba,306198
Marc-Antoine,Longpre,1909507
Fred,Buell,118173
Harvey,Gram,180778
Sandra,Trappen,1089751
J.,Kim,1291315
S.,Archino,826158
Jennifer,Whitehead,173118
Maria,Hadjipolycarpou,2220194
Taner,Ture,2192376
Mana,Philip,2354664
Seth,Lehman,2447352
Rebecca,Schley,2476011
Andrea,Khalil,833867
Christopher,Vickery,173121
Tom,Grochowski,255036
Maksud,Lasker,1401777
Sophia,Catsambis,368147
.,Jin,277466
N,Singh,782458
Josephine,Belli,859157
Scott,Barton,2169438
Diane,Coogan-Pushner,1162629
Oded,Nir,2533188
Susan,Shaw,1086370
Kelley,Kawano,761119
Jessica,Harris,319916
Arthur,Dignam,803335
Eva,Sheridan,2340792
Alpana,Bhattacharya,402288
.,Sobel,607535
Sarah,Stinson,682877
Robert,Steger,1258714
Sharisse,Kanet,1118578
Joseph,Lisi,326713
Cindy,Feldstein,500679
Bob,Baker,565965
Hanaa,Wahba,1879797
Michael,Fried,2072193
Shira,Dvora,1524726
Maria,Saleem,2879219
Susan,Sepe,1656612
Karen,Abraham,2401412
Herbert,Hartel Jr,2449776
Tracey,Riley,1195089
Yoko,Nomura,1312155
Albert,Kim,2104684
Al Amirasafa,Shehab,2214186
Janice,Smith,453881
Line,Saint-Hilaire,1459495
Jeffrey,Satenstein,2015333
John,Gunn,472636
A.,Clarke,1081991
Kyriaki,Mihelakis,2155465
Gabriella,Skwara,1966222
Raymond,Scannell,1639130
Zahra,Zakeri,475526
Teresa,Gonzalez,1087640
Douglas,Meyer,1155071
Julie,Boyd,1867674
.,Arce,375476
Eli,Amzallag,1578948
A.,McKelligan,1023058
Benay,Don,469147
Meghan,Healey,798589
Anita,Feisullin,1632337
Yan,Zheng,249880
Katherine,Profeta,1524308
Mark,Rosenblum,215567
A.,Nandi,429630
Murray,Davidovits,479929
Heather,Hendershot,206309
Gina Marie,Tomasulo,1058691
Eric,Chen,707503
Linda,Catalano,1903712
Joanne,Miller,118172
Rikki,Asher,209426
Carole,Goodman,403656
Jacqueline,Rothstein,998580
D,Berger,892852
Marcela,Tovar-Restrepo,1257561
Sita,Patel,2345537
Jacqueline,Darvin,545826
Yin Mei,Critchell,670615
Rebecca,Nelson,1981764
Donald,Scott,414713
.,Bienstock,815151
John,Wigglesworth,1033744
Roxanne,Nedelcu,1097905
Christopher,Foster,1330356
Alicia,Barrientos,2169213
Michael,Gorelick,1851962
Huifei,Li,2456959
Dr. Sunitha,Jasti,596416
Randy,Stein,1124181
Sanjai,Pathak,1969275
Rosaria,Caporrimo,588089
Robert,Hicks,1056836
Christian,Lee,2371601
Annette,Paciorek,2240327
Mark,Abramov,2498540
Maxine,Fisher,294708
Steve,Malin,1613657
James,O'Neill,1691392
Joedell,Bastien,3055038
Lanny,Fields,53830
SY,Bernal,910390
Joshua,Rivenbark,1615553
Prithviraj,Guha,1404481
Evan,Wilson,2664941
Andrew,Dicus,1239564
Neil,Frary,2365084
Melinda,Altman,1950432
Jennifer,Alberghini,2099472
E.M.,Krest,369811
.,Fischtal,297813
Jessica,manser,575040
S,Fasos,1383671
Christine,Chang,2292850
Leslee,Greys,1457144
Ting,Wang,1932980
Randi,Dickson,122578
Tousi,Haki,245556
Cristianna,Colella,2333416
Gina,Minielli,2387773
Yu Ren,Dong,203729
Shu Yuan,Wu,2629683
Neil,Friedman,49662
Fred,Lawrence,390600
Salman,Ahmad,954514
Brian,Yun,1849461
Talia,Schaffer,218595
Shu Yuan,Wu,2629683
Gordon,Whatley,376985
Damian,Amblard,1183723
Karen,Klatzkin,418536
Dianne,Greenfield,2353957
Jessica,Polish,2388376
